tekno,58924662595.0,4585684357.5,7.8,20,15
gyo,37110881385.1,1500519356.3,4.0,25,21
banka,93925822724.2,-487017079.4,-0.5,5,2
bist30,250300068248.1,16261406744.5,6.5,18,3
harz,82476333732.9,1699148280.6,2.1,60,35
bist500,524813609599.5,19189832880.1,3.7,234,162
enerji,21463769288.0,1173397559.5,5.5,25,7
bist100,354608833404.4,19710625042.3,5.6,60,27
fonlar,13729687070.0,763353403.5,5.6,5,6
fin_sigorta,8380825402.4,110747186.7,1.3,7,4
cim_ins,25803514704.7,145225278.5,0.6,11,12
bist_100_disi,235067155745.8,896439411.6,0.4,188,142
