tekno,31326277333.0,-458518792.9,-1.5,8,28
gyo,37734788584.3,1227624960.1,3.3,21,26
banka,83519445919.9,-6104176082.9,-7.3,3,5
harz,76609674877.5,-1343519589.1,-1.8,29,66
bist500,407427502375.1,-5431581968.7,-1.3,150,250
enerji,17824733071.2,-121782312.9,-0.7,12,20
bist100,269307908379.2,-7718422671.8,-2.9,23,69
fonlar,9448242403.0,273682297.9,2.9,4,7
bist30,192971259043.3,-5586349886.1,-2.9,4,22
fin_sigorta,7627390566.5,-110833654.9,-1.5,3,8
cim_ins,19364892850.8,-215208087.4,-1.1,8,15
bist_100_disi,199182829683.0,668058224.8,0.3,135,194
